Jahr,Monat,ID,Name,Tag,Dienst
2026,3,MA_01,Anna,2,N
2026,3,MA_01,Anna,6,T
2026,3,MA_01,Anna,14,N
2026,3,MA_01,Anna,16,N
2026,3,MA_01,Anna,18,T
2026,3,MA_01,Anna,21,N
2026,3,MA_01,Anna,25,N
2026,3,MA_01,Anna,30,T
2026,3,MA_02,Ben,3,N
2026,3,MA_02,Ben,8,N
2026,3,MA_02,Ben,15,N
2026,3,MA_02,Ben,17,T
2026,3,MA_02,Ben,18,N
2026,3,MA_02,Ben,22,N
2026,3,MA_02,Ben,26,T
2026,3,MA_02,Ben,30,N
2026,3,MA_03,Clara,4,T
2026,3,MA_03,Clara,9,N
2026,3,MA_03,Clara,16,T
2026,3,MA_03,Clara,17,N
2026,3,MA_03,Clara,19,T
2026,3,MA_03,Clara,23,T
2026,3,MA_03,Clara,26,N
2026,3,MA_03,Clara,31,T
2026,3,MA_04,Dieter,1,N
2026,3,MA_04,Dieter,4,N
2026,3,MA_04,Dieter,5,N
2026,3,MA_04,Dieter,6,N
2026,3,MA_04,Dieter,11,T
2026,3,MA_04,Dieter,23,N
2026,3,MA_04,Dieter,27,T
2026,3,MA_04,Dieter,31,N
2026,3,MA_05,Erich,5,T
2026,3,MA_05,Erich,9,T
2026,3,MA_05,Erich,10,T
2026,3,MA_05,Erich,12,N
2026,3,MA_05,Erich,19,N
2026,3,MA_05,Erich,24,T
2026,3,MA_05,Erich,27,N
2026,3,MA_06,Franzi,2,T
2026,3,MA_06,Franzi,3,T
2026,3,MA_06,Franzi,11,N
2026,3,MA_06,Franzi,13,T
2026,3,MA_06,Franzi,20,T
2026,3,MA_06,Franzi,24,N
2026,3,MA_06,Franzi,28,N
2026,3,MA_07,Gustl,7,N
2026,3,MA_07,Gustl,10,N
2026,3,MA_07,Gustl,12,T
2026,3,MA_07,Gustl,13,N
2026,3,MA_07,Gustl,20,N
2026,3,MA_07,Gustl,25,T
2026,3,MA_07,Gustl,29,N
